class,pixcount
1.0,109721.0
2.0,3060.0
3.0,736076.0
4.0,593187.0
1110.0,6207.0
1120.0,655.0
1130.0,24043.0
1150.0,202.0
1210.0,5383.0
1220.0,669.0
1310.0,8217.0
1320.0,990.0
1430.0,21.0
1440.0,317.0
2200.0,16.0
2310.0,258.0
3100.0,127.0
