class,pixcount
1.0,537509.0
2.0,24292.0
3.0,736076.0
4.0,593187.0
1110.0,50102.0
1120.0,5875.0
1130.0,184579.0
1150.0,1532.0
1210.0,32802.0
1220.0,7007.0
1310.0,66300.0
1320.0,8592.0
1430.0,267.0
1440.0,3530.0
2200.0,35.0
2310.0,1352.0
3100.0,752.0
