class,pixcount
1.0,1224631.0
2.0,77107.0
3.0,736076.0
4.0,593187.0
1110.0,206443.0
1120.0,21960.0
1130.0,627413.0
1140.0,32.0
1150.0,4879.0
1210.0,95331.0
1220.0,25351.0
1310.0,233695.0
1320.0,33536.0
1410.0,70.0
1430.0,1199.0
1440.0,17467.0
2200.0,35.0
2310.0,2583.0
3100.0,1686.0
