class,pixcount
1.0,1738738.0
2.0,118442.0
3.0,736076.0
4.0,593187.0
1110.0,414683.0
1120.0,38223.0
1130.0,937601.0
1140.0,88.0
1150.0,6092.0
1210.0,138986.0
1220.0,40021.0
1310.0,351857.0
1320.0,66762.0
1410.0,177.0
1430.0,2706.0
1440.0,33490.0
2200.0,35.0
2310.0,3173.0
3100.0,3092.0
